Key;Anzahl
5468;1
206;4
5467;7
208;2
9829;1
9840;1
5482;2
5481;5
5484;1
5483;6
8513;1
9843;1
5485;1
9842;1
5488;2
9841;1
5480;2
212;2
213;1
218;12
9837;1
8506;3
9836;1
8505;1
8509;1
8508;1
9839;3
8507;1
9838;3
8520;2
5492;10
5495;2
20002;1
5494;27
5497;1
8523;1
5496;1
20001;1
5490;1
221;2
220;58
223;1
222;726
224;7
8517;1
8516;1
8515;1
8518;1
4173;4
4174;1
9865;1
9864;1
8533;1
234;22
238;3
237;294
239;1
9857;1
243;39
242;55
245;12
244;68
249;10
8537;1
9867;1
1900;16
8553;1
9883;1
8552;1
8551;1
8550;1
9888;1
9887;2
4192;3
254;15
253;13
255;174
258;34
257;46
1917;1
1918;3
1915;1
9879;2
1916;1
9878;2
8547;1
1913;1
1911;1
1912;1
8564;1
12381;1
9894;2
8563;1
9893;1
8568;1
9898;2
9896;3
12382;1
9891;1
9890;1
264;274
267;91
269;57
268;156
1928;27
1929;16
1926;1
8559;1
1925;2
1923;1
8575;3
8573;3
12352;1
12350;1
8577;2
8571;1
271;110
274;62
276;46
1932;15
1939;3
12356;1
12355;3
12354;1
12353;1
12359;1
12358;1
12357;1
8586;1
8583;3
12361;1
281;5
8581;3
285;35
1942;1
287;1
286;2
1948;1
12364;2
8596;1
8591;2
1951;3
1952;3
1950;5
12334;1
1958;23
1964;1
1961;1
12342;2
21293;1
1968;4
1967;1
20851;1
1974;1
1972;1
1970;1
11909;4
1986;1
11910;11
1987;9
11911;1
1984;2
11912;3
1985;1
11913;3
11914;1
1983;1
11915;50
1980;1
1981;1
11917;1
9004;2
9003;1
9002;2
9001;1
9007;1
9006;1
9005;1
9000;1
1994;1
9019;1
3705;1
3707;8
9009;2
3701;8
3702;1
9026;2
9025;2
9024;2
9023;2
9022;1
9020;1
3716;5
3715;12
20808;1
20807;1
19822;1
3714;1
9035;2
9034;1
20827;2
20824;1
9033;2
20822;1
9032;1
9031;1
20820;1
20821;1
3727;2
20819;1
3722;5
3724;1
2404;5
3738;2
2405;3
2402;105
