<?xml version="1.0" encoding="UTF-8"?>Key;Name
6386;Heinrich Gontard &amp;amp; Co.
12020;F. F. Autenriethʼsche Buchhandlung (Stuttgart)
8324;Gebrüder Kehr &amp;amp; Niessen
9533;Institut de France. Bibliothek
6154;Georg-August-Universität Göttingen
6155;Rheinische Friedrich-Wilhelms-Universität Bonn
6156;Gesellschaft der Wissenschaften (Göttingen)
6157;Académie des Inscriptions et Belles-Lettres (Paris)
12470;Juniussische Buchhandlung (Leipzig)
12591;Römischer Hof (Berlin)
6150;Universitätsbibliothek Heidelberg. Palatina
9417;Dänisch-Hallische Mission
14653;Versammlung Deutscher Naturforscher und Ärzte
8327;Aachener Kongress
14652;Gesellschaft Deutscher Naturforscher und Ärzte
12116;Athenaeum Illustre (Amsterdam)
12237;Chinesisches Kabinett (Gotha)
6043;Leipziger Buchmesse
6044;Joh. Fr. Ungersche Buchdruckerei und Schriftgießerei
12120;Hoogduitse Schouwburg (Deutsches Theater, Amsterdam)
6048;Kaiserlich-Königliches Nationaltheater (Wien)
21198;Tottie &amp;amp; Arfwedson
9670;Uppsala universitet
6161;Pépinière (Berlin)
12488;Rivington (Firma, London)
12245;Bonn-Cölner Eisenbahn-Gesellschaft
12124;Stadsschouwburg (Amsterdam)
12127;Bataafsche Republiek. Nationale Conventie
12007;San Benedetto. Kloster
6176;Bibliothèque Nationale (Paris)
8595;Kupferstichkabinett (Dresden)
8594;Münzkabinett (Dresden / Staatliche Kunstsammlungen)
21048;Société biblique protestante de Paris
6179;Asiatic Society (Kalkutta)
6172;Universität Bonn. Akademisches Kunstmuseum
6173;France. Chambre des Pairs
14517;Großbritannien. Commissioners of Woods, Forests and Land Revenues
10395;Königliche Gelehrtenschule zu Flensburg
12210;Renault &amp;amp; Bettinges (Sierck-les-Bains)
12211;Steinebach und Leroy
12212;France. Direction Générale des Douanes et Droits Indirects
12214;Preußen. Preußische Armee
6185;Gemälde-Gallerie (Kassel)
8366;Mainzer Republik
9575;A. H. Baldwin &amp;amp; Sons (London)
8249;Archiv des kaiserlichen und Reichskammergerichtes (Aschaffenburg)
9217;Universität Zürich
6182;Königlich-Rheinisches Museum Vaterländischer Alterthümer (Bonn)
6183;Royal Asiatic Society of Great Britain and Ireland
6184;Universität Heidelberg
22262;Bodleian Library
14521;Königlich-Preußische Gesandtschaft (Paris)
12343;N. M. Rothschild &amp;amp; Sons (London)
12224;Putz &amp;amp; Gougeon (Metz)
12348;Stadtschule (Wolgast)
12347;Gelehrte Schule (Friedland, Landkreis Mecklenburgische Seenplatte)
9587;Carl Felssecker’s seel. Söhne
9465;Københavns Universitet
8499;München. Alte Pinakothek. Sammlung Boisserée
6070;Carl Darnmann (Züllichau)
8252;France. Chambre des Députés
6193;Velhagen &amp;amp; Klasing
8145;(Griechen-Verein, Bonn)
13099;Großbritannien. Navy
19751;Les Ultras
11907;Oktoberfest
11908;Alte Pinakothek (München)
9487;Akademie der bildenden Künste Wien
8275;University of London
