Key;Name
6863;Waldeck (Landkreis Waldeck-Frankenberg)
2021;Blois
3344;Tours
5765;Bad Gandersheim
6611;Bad Homburg v. d. Höhe
504;Kötschau (Hohlstedt)
988;Mannheim
987;Spa
6613;Paris-Montmartre
989;Aachen
507;Pompeji
11810;Palmella
21269;Satigny
4694;Baden-Baden
6630;Antwerpen
6872;Jülich
6873;Kleve (Kreis Kleve)
6874;Henneberg
22353;Mostaganem
2275;Potsdam
22352;Mascara (Algerien)
2276;Richmond (New South Wales)
22354;Toulon
2274;Zerbst/Anhalt
21029;Bourg-en-Bresse
10139;Döbling
990;Bad Godesberg
992;Düsseldorf
752;Oberweimar (Weimar, Lahn)
20172;Bad Düben
10373;Chios
5776;Gera
10133;Kinnordy (Forfarshire)
6625;Cauterets
10134;Dijon
8800;Nimwegen
6626;Gavarnie
6627;Broglie (Eure)
5779;Görlitz
5537;Liegnitz
10136;Zwolle
10137;Görzke
10138;Glienicke (Landkreis Oder-Spree)
5550;Rothenburg/O.L
21276;Eßling
10381;Departement Vendée
7973;Bristol
6400;Cheltenham
10140;Wemding
1197;Neustrelitz
3375;Stettin
1196;Wiederstedt
2281;Dessau
12329;Wunstorf
14748;Nantes
3124;Gut Seekamp (Kiel)
21272;Chancy
12320;Döhren (Hannover)
6875;Ravensberg (Borgholzhausen)
10142;Salzbrunn
6876;Engern
10143;Fiesole
12564;Lokris
5547;Rothenburg (Saalekreis)
21271;Châtelaine
5549;Rothenburg ob der Tauber
4459;Drackendorf
10147;Flensburg
5548;Rothenburg Münster (Westf)
10148;Uerdingen
21247;Schwyz
21245;Einsiedeln
21004;Kap der Guten Hoffnung
6893;Château de Fleury-en-Bière
21243;Isola Bella, Lago Maggiore
21244;La Valsainte
21241;Grindelwald
21242;Freiburg im Üechtland
5322;Nordhausen
2293;Glückstadt
3141;Magdeburg
2294;Roskilde
10117;Heilbad Heiligenstadt
10118;Soest
773;Austerlitz
774;Ölmütz
4467;Helmstedt
10110;Eglisau
21240;Unterseen
20390;Bourges
10111;Burgau (Schweiz)
6646;Schloss Eu (Seine-Maritime)
11443;Bellinzona
10113;Demmin
11444;Lugano
10115;Jüterbog
22349;Himalaja
4240;Athen
8842;Wanstead House (Wanstead, London)
21010;Coimbra
21252;Entlebuch
5576;Krakau
10360;Leuk
9930;Mommenheim
5575;Messina
10361;Schinznach
2064;Innsbruck
3395;Schweidnitz
22345;Konya
540;Sankt Petersburg
10129;Wrexham
10120;Burgörner (Hettstedt)
7986;Confignon
10362;Lerici
4478;Ribbesbüttel
10363;Colle di Cadibona
21493;Grabow
10121;Norderney
8834;Oberlößnitz
10364;Piacenza
11454;Batavia
7989;Palais des Prinzen Heinrich (Berlin)
11696;Södermanland
21491;Walwen (?)
6659;Chur
12547;La Grange (La Longine, Haute-Saône)
12546;Bozen
10126;Boston, Mass.
8838;Dover
4250;Celle
5583;Karthago
6672;Golconda
8854;Premnitz
5342;Northeim
21464;Pillau
4498;Ettersburg
20372;Kloster Werden
20373;Essen-Werden
6434;Landrecies
21220;Pfäfers
4013;Schloss Sanssouci (Potsdam)
9940;Vernand (Lausanne)
21228;Rheinheim
10338;Calicut
312;Hyères
10571;Delémont
12752;Wesseling
20371;Donauwörth
8846;Ingelheim am Rhein
8604;Wilkes-Barre, Pa.
8845;Bacharach
8603;New York, NY
8608;Wermsdorf
11425;Jericho
6683;Behistan
8865;Düren
6684;Hoya
6442;Kolberg
9951;Salisbury
2089;Ascheberg (Holstein)
3175;Worms
19391;Bad Gastein
2083;Charlottenburg (Berlin)
10108;Meiringen
10109;Faido
566;Erlangen
327;Frankfurt am Main
21471;Tilsit
10100;Moers
5107;Tetschen
22779;Bellegarde
2091;Eutin
20114;Jekaterinburg
20115;Erzurum
8871;Konitz
5360;Ronnenberg
8870;Lagny
6210;Heldenburg (Burg Salzderhelden)
20113;Kasan
5120;Vichy
20111;Stadtschloss Potsdam (Potsdam)
5125;Lüneburg
21440;Schawel
3188;Siegersdorf (Zebrzydowa, Niederschlesien)
20116;Schloss Stolzenfels (Koblenz)
10315;Volterra
575;Brüssel
574;Heidelberg
10318;Stechow (Stechow-Ferchesar)
334;Bad Liebenstein
9716;Leezen (Parchim)
6205;Granada
9957;Schloss Tegel (Berlin)
6206;Córdoba
5118;Dresden-Wachwitz
4028;Neipperg
10553;Fort William (Kalkutta)
11642;Stans (Nidwalden)
6209;Salzderhelden
9717;Schwerin
6460;Rinteln
3190;Aschersleben
5376;Baarn
5134;Bad Kissingen
8645;Windsor
9975;Ephesus
6465;Palermo
21692;Montpellier
5378;Naarden
21450;Perd
8642;Slough
5377;Utrecht
22782;Auxonne
11657;Swinemünde
11658;Anklam
341;Murten
10328;Elberfeld
10329;Prenzlau
22780;Angoulême
5369;Hameln
5127;Lingen (Ems)
6458;Bad Bentheim
10562;Landsberg (Warthe)
9966;Altenkirchen (Landkreis Vorpommern-Rügen)
11410;Boizenburg/Elbe
11653;Usedom
11412;Bolenzano (Provinz Lodi)
12502;Hyde Hall (Sawbridgeworth)
11654;Wollin
10324;Clarens (Montreux)
11655;Stolpe (Ostvorpommern)
6474;Liebstedt
8414;Dresden-Neustadt
5387;Loccum
9987;Neuenburg (Schweiz)
5144;Haarlem
351;Nürnberg
353;Parma
355;Venedig
354;München
356;Rom
359;Mailand
358;Iles d’Hyères
10098;Chemnitz
5137;Rotterdam
8647;Camburg
14696;Gelnhausen
12;Jena
5393;Verden (Aller)
5396;Bückeburg
14;Gotha
13;Dresden
9998;Maastricht
5156;Römlinghoven
16;Wien
15;Berlin
9996;Ingolstadt
9995;Sankt Goar
360;Bologna
361;Céligny
363;Cologny
366;Lyon
365;Eisenach
369;Vevey
5148;Königswinter
22;Leipzig
6252;Rorschach
9767;Bawtry
10072;Maria Einsiedel (Gernsheim)
12250;Roisdorf
6497;Zug
10073;Brody
12251;Rolandseck
9766;York
10074;Schloss Siebeneichen (Meißen)
11164;Baden (Niederösterreich)
6016;Milford Haven
133;Kiel
22050;Les Ormes
377;Tivoli
134;Rendsburg
378;Genua
138;Wagersrott
9518;Andernach
10076;Fort St. George (Madras)
9517;Brohl (Rhein)
10079;Grimma
9773;Mühlhausen/Thüringen
8441;Argos
6022;Pest (Stadt)
5176;Sumatra
9772;Wakefield
9770;Pontefract
5171;Sussex
9769;Doncaster
10089;Herstmonceaux
9768;Nottingham
14685;San Cristóbal de las Casas
1802;Iglau
7122;Wiesloch
9789;Surinam
5189;Volkersheim (Bockenem)
5188;Angern (Landkreis Börde)
6036;Pontivy (Napoléonville)
10051;Treuenbrietzen
9302;Sierck-les-Bains
8450;Attika
5181;Warnemünde
392;Basel
14655;Constan?a (Tomoi, Tomis)
10054;Stolberg/Harz
10055;Ottmachau
10056;Tegel
58;Weimar
8220;Detmold
60;Braunschweig
12246;Frechen
2917;Oßmannstedt
14663;Tempetal
2912;Ansbach
14667;Philae
66;Danzig
9321;Ajmer
8231;Elba
9320;Khambat
6056;Wien, Alservorstadt
20077;Siwa
9327;Udaipur (Madhya Pradesh)
10030;Edinburgh
171;Paris
173;Hannover
172;Köln
6052;Kloster Lorch
14639;Hermopolis Magna
1831;Schloss Schönbrunn (Wien)
20073;Chittagong
9319;Rajasthan
10277;Skálholt
8243;Schloss Ambras
8485;Wellington (Somerset, England)
10281;Vaasa
6068;Valencia
8006;Bingen am Rhein
8248;Glogau
9579;Rübenach
8004;Hertford
9577;London-Hackney
8488;Mecheln
22265;Antiochia
6061;Kloster Tegernsee
1601;Interlaken
2930;Coburg
10043;Colmar
10044;Kientzheim
12463;Ajanta
14641;Paretz
10049;Montbéliard
87;Spandau
8255;Alba Longa
9106;Klosteranlage des Klosters Sankt Gallen (Sankt Gallen)
9105;Klosteranlage der Kapuzinerinnen von St. Scholastika in Rorschach (1616-1905)
8257;Rio de Janeiro
195;Sankt Gallen
6074;Jerusalem
199;Hohenems
2701;Wolfenbüttel
2702;Ilsenburg (Harz)
2700;Goslar
19509;Bad Driburg
2703;Elbingerode (Harz)
98;Hamburg
2704;Andreasberg (Bestwig)
19754;Lützen
19750;Ragusa (Dalmatien)
8268;Engers
9599;Ratzeburg
21837;Ioannina
6085;Mölker Bastei (Wien)
2955;Komarno (Hirschberg, Riesengebirge)
2711;Den Haag
1861;Wagram (Sankt Pölten)
2718;Osnabrück
1869;Bad Reichenhall
1868;Altona
9127;Ruhla
21804;Perekop
8273;Donaueschingen
1633;Erfurt
1873;Bad Pyrmont
2729;Breda
8289;Nassau (Rhein-Lahn-Kreis)
9135;Barmen
8286;Wetzlar
21813;Helsingborg
8283;Vatikanstadt
3826;Kabul
3825;Lahore
1886;Hermannstadt
19738;Brauweiler (Pulheim)
3821;Cumae
9381;Trondheim
9380;Brüx
8290;Domodossola
2746;Syke
1896;Bad Bocklet- Aschach
2986;Schmiedeberg (Sächsische Schweiz- Osterzgebirge)
9159;Kloster Loccum
9391;Singapur
9390;Bengkulu
20701;Büyükdere
2755;Harburg, Elbe
3842;Babylon
3846;Bad Ems
19715;Heiligenstadt (Wien)
12291;Zaandam
12051;Tuilerien Paris
12296;Palazzo Barberini (Rom)
1678;Warschau
4947;Hannover-Bothfeld
4708;Bombay
2527;Reval
4945;Eger
2528;Riga
19930;Bayeux
9178;Königliches Palais (Hannover)
9177;Hannover-Marienwerder
9176;Schloss Herrenhausen (Hannover)
9175;Schloss Monbrillant (Hannover)
9174;Linden (Hannover)
9173;Herrenhausen (Hannover)
2536;Marienbad
2537;Appenzell
4958;Freiberg
2776;Giebichenstein
2535;Freiburg im Breisgau
2777;Halberstadt
2530;Ervita (Järva/Koeru)
1441;Münster (Westf)
4950;Peine
19938;Eisleben
5800;Ostende
4713;Rastatt
4712;Barcelona
2538;Solothurn
3867;Dendera
